time_stamp;title;topic
2008-10-21;RWE to supply gas to corporate clients in Slovakia from 2009;4
2008-06-19;German RWE Seeks To Acquire Polish Coal Mine - Report;-1
2011-03-21;RWE shuts down Biblis A reactor;-1
2011-06-24;RWE [ DAX index] dips 0.1% on high volume falling for a second consecutive day, a two day fall of 2.9%;1
2010-06-30;Topell Energy and RWE Innogy build plant for the production of biocoal pellets;-1
2008-03-26;RWE 's Innogy wins contract to build 200 MW wind farm in Poland;0
2013-12-17;- RWE Dea - First exploration well in Mauritania now under way;4
2011-07-15;RWE [ DAX index] dips on high volume falling for a second consecutive day, a two day fall of 0.9%;1
2016-02-09;-RWE Innovation Division expands into the USA;-1
2010-08-03;RWE to pocket EUR 100m from price hike - report;2
2019-10-09;RWE acquires E.ON's renewable business in US;0
2009-04-27;Dutch authorities reject RWE takeover bid for Essent;-1
2011-06-13;RWE [ DAX index] rises in strong trading with rising open interest;1
2012-08-20;RWE received four offers for Czech unit Net4Gas - report;2
2010-09-17;RWE to cut 2011 guidance - report;2
2012-10-30;Berlin state buys RWE 's 24.95% stake in Berliner Wasserbetriebe;-1
2021-11-08;Iberdrola , RWE claim rights to 2 German offshore wind projects;0
2011-04-29;Month to April 29: Rwe weakens below Moving Average Price (MAP), with 50-day MAP trailing 200-day MAP;1
2010-02-04;CORRECTED - RWE orders EUR 75m biomass boiler from Metso;-1
2018-09-24;Growth of District Heating Market Forecast to 2024 in a Newly Released Report Profiling Fortum , Goteborg Energi ,Vattenfall AB, STEAG GmbH , Statkraft AS, Shinryo Corporation , RWE AG , Ramboll Group A/S , Ørsted, NRG Energy, LOGSTOR A/S & more;2
2013-12-20;- RWE Dea UK - Production from Orca gas field started;4
2008-12-19;RWE, Bulgarian NEK sign JV contract for nuclear power plant;-1
2008-04-14;Abandoning Coal Sources May Cause Energy Crisis in Germany - RWE CEO;0
2019-07-31;-RWE raises outlook for fiscal 2019;2
2019-08-22;- RWE AG - RWE acquires stake in Slovak VSE Holding;2
2010-12-13;RWE chief strategist projects stable energy prices in 2011 - report;0
2016-07-25;"WIPO PUBLISHES PATENT OF RWE DEUTSCHLAND FOR ""METHOD FOR OPERATING AN ELECTRICAL LOAD OR GENERATOR ON A SUBSCRIBER NETWORK AND A SWITCHING MATRIX"" ( GERMAN INVENTORS)";3
2008-12-22;German RWE Dea plans to double output by 2013;4
2013-05-02;RWE Foundation marks 15 years;2
2008-01-31;RWE halts investments in German power plants due to rising emission costs;3
2019-03-14;RWE Stand-Alone Adjusted Earnings Fall Almost 30% In 2018;2
2008-01-25;France 's Sarkozy asks Merkel if EDF attempt to buy RWE would be opposed;-1
2015-08-28;"European Patent Office granted patent to RWE POWER AG  [DE] titled as ""METHOD FOR OPERATING A STEAM GENERATOR""";3
2014-03-18;"Investors cheer RWE ""s plan to sell oil, gas unit";2
2012-06-06;RWE supplies tail wind for German football;0
2009-02-19;Repower gets EUR 2bn order from RWE;3
2022-12-20;Tuesday December 20, 2022 What Happened Today to the RWE ADR;-1
2009-04-20;RWE set to invest EUR 500m in Poland wind farms;0
2008-02-14;Excelerate Energy to Form Partnership With RWE German utility to acquire 50-percent stake in leading LNG innovator;2
2008-02-27;RWE outlook cut to negative on new strategic plan - Fitch;2
2011-12-06;RWE to increase capital;2
2009-10-22;German RWE closes sale of majority stake in SWB;-1
2022-10-05;RWE to bring forward lignite phase-out in western Germany to 2030;-1
2008-09-03;German RWE, Kazakh Samruk Sign Energy Cooperation;3
2010-02-25;RWE 2009 net income up nearly 40 pct to euro3.6 bil;2
2012-10-24;RWE Technology , DEWA to form energy consulting JV;3
2011-10-21;Weekly: RWE rises in strong trading with rising open interest, continues strong monthly trend;1
2022-10-03;RWE to buy Con Edison unit for $6.8B with Qatar backing;3
2016-02-01;RWE announces departure of CEO of RWE Deutschland;-1
2009-07-13;Daimler 's CEO to step into RWE supervisory board - report;-1
2010-11-22;RWE controlling head to become Infineon CFO - report;-1
2020-04-06;-Good ESG rating results demonstrate RWE 's commitment to sustainability;-1
2021-08-04;Rolf Martin Schmitz, RWE Chief Executive Officer in second quartile of German annual return Wednesday August 04, 2021;-1
2017-11-14;"RWE AG 9-month Profit Surges; Confirms FY View At Upper End Of Range";2
2017-12-01;RWE AG ST Financial Reports: Report on the first half of 2012;2
2019-07-10;German utilities RWE , E.ON get US approval for asset exchange deal;2
2012-05-10;RWE keeps 2012 guidance despite Q1 profit drop;2
2022-10-27;RWE - GERMAN PRE-MARKET CONFIRMATORY BULLISH MOMENTUM SIGNAL Friday October 28, 2022 07:10 CEST;2
2011-05-30;RWE [ DAX index] hits year-low 9th time in three months;1
2014-02-04;RWE allows citizens to participate in 3 MW solar park;0
2022-06-24;RWE Renewables begins operations at 195.5- MW Ga. solar farm;0
2022-11-10;RWE ( RWE : EUR40.60) - PRE-MARKET CONFIRMATORY BULLISH SIGNAL FROM ITS ADR MARKET Friday November 11, 2022 07:11 CET;2
2015-12-21;- RWE Innogy GmbH - First foundation for Nordsee One Offshore wind farm successfully installed;0
2010-06-18;EC rules in favour of German RWE's enviaM buying Mitgas;-1
2022-12-28;Sempra Infrastructure Announces Sale and Purchase Agreement with RWE for Port Arthur LNG;-1
2008-06-06;RENEWABLES: German RWE Innogy Buys Six Wind Farm Projects in Czech Republic;0
2009-07-16;RWE 's Biblis B to resume work in mid-September;-1
2011-11-21;RWE, Bankhaus Lampe join forces in green tech start-ups financing - report;2
2015-08-13;RWE 's H1 op profit from renewables nearly trebles;0
2010-03-29;German Bilfinger Berger gets EUR 90m deals from RWE , BASF;2
2022-12-16;"Weekly: RWE ADR (RWEOY: $44.04) falls 0.8% on low volume; -36c [0.8%]";1
2011-06-08;BASF Antwerpen to buy 50% in Zandvliet power plant from RWE;3
2021-03-16;Axa to sever ties with RWE over coal, carbon footprint concerns Bloomberg;0
2020-06-30;RWE coal phase-out not speedy enough, investor contends;0
2011-07-15;RWE AG , Gazprom OAO In Talks On Joint Gas, Coal Power Projects- DJ;0
2014-05-26;RWE Innogy starts building 90-MW Dutch wind farm;0
2017-12-01;RWE AG ST Financial Reports: Report on the first three quarters of 2015;2
2013-01-16;RWE issues new euro bond Total volume â,¬ 750 million Energy utility takes advantage of favourable market conditions;2
2008-08-14;RWE could hike mid-term guidance next year on higher power prices - CFO;2
2009-06-29;RWE Innogy launches first 30 MW offshore wind farm in Belgium;0
2009-07-03;German RWE Dea opens office in Azerbaijan;4
2012-10-18;RWE preference rises 0.6% on high volume;1
2021-02-18;RWE Expects EBITDA To Be Negatively Affected By Extreme Weather Conditions;2
2011-05-26;RWE [ DAX index] falls in weak trading with rising open interest, weekly and monthly trend remains weak;1
2008-12-05;RWE offers to sell gas grid to avoid EC fine;4
2022-10-28;"Rwe Ag 52-year bond falls ; -34.20c [0.4%]";2
2013-03-25;RWE Dea awarded its Music Scholarship Program in Oslo for the 14th time;4
2017-05-01;Uwe Tigges to leave RWE Executive Board to focus on his task with innogy;2
2011-11-28;RWE Innogy to face EUR 1.5bn annual costs for EU's emissions trading scheme - report;2
2019-11-15;Transformed RWE unveils 20-GW pipeline, lifts profit guidance for 2019;2
2010-10-14;"WIPO ASSIGNS PATENT TO RWE FOR ""CHARGING CABLE LOCKING DEVICE AND METHOD FOR LOCKING A CABLE"" ( GERMAN INVENTORS)";3
2011-09-13;RWE [ DAX index] rises 2.5% on high volatility;1
2022-08-08;Con Ed 's $3B green unit is said to draw interest from Total, RWE;2
2011-09-06;RWE wraps up divestment of 74.9% in Amprion;2
2008-05-08;German RWE Fears Possible Power Supply Shortage;-1
2019-04-08;CMA Decides Not To Refer Phase 2 Investigation For RWE AG -E.ON Deal;2
2014-04-01;-RWE and LetterOne sign purchase agreement;2
2010-11-15;- RWE remains on course for success in 2010;2
2011-11-30;RWE , trade unions reach wage agreement - report;2
2010-11-08;RWE drops EUR 700m HPP project in Macedonia - report;-1
2010-11-02;RWE aims to avoid nuclear tax at Biblis plant - report;-1
2012-05-21;RWE to invest up to EUR 150m in Moroccan solar project - report;0
2011-09-20;E.on, RWE shares increase after Finance Court doubts nuclear tax;2
2013-03-28;RWE Dea enters West of Shetland Licences;4
2016-03-31;"Fitch Downgrades RWE AG to 'BBB'; Remains on Rating Watch Negative";-1
2008-06-06;RWE plans to build six wind-power projects in Czech Republic;0
2008-12-22;OMV , RWE to check conditions for a gas pipeline across Caspian Sea;4
2015-10-12;E.ON, RWE Surge As Report Says Provisions Fully Reflect Future Obligations;2
2011-03-21;- RWE brings energy efficiency to homes;0
2016-11-14;"RWE 9-month Adj. Net Income Falls; Backs 2016 Profit Outlook";2
2015-08-10;"Swiss Federal Institute of Intellectual Property granted patent to RWE AG on August 05 titled as ""CHARGING STATION BASE FOR ELECTRICAL CHARGING STATIONS""";3
2012-01-25;"JP Morgan upgrades RWE to ""neutral"" rating, cuts share target";-1
2008-12-08;RWE CEO, supervisory board head quarrel over power - report;-1
2011-07-14;RWE announces sale of majority in Amprion unit to insurers;2
2012-04-19;Uwe Tigges appointed member of RWE AG Executive Board;-1
2013-03-25;Deal snapshot: RWE INNOGY TO SELL MINORITY HOLDINGS IN TWO UK WIND FARMS;0
2014-03-14;DGAP-Adhoc: RWE and LetterOne agree on Sale of RWE Dea;4
2020-12-23;RWE sells tax equity stake in Texas wind farm to JPM Capital;0
2017-12-01;RWE AG ST Financial Reports: Report on the first three quarters of 2012;2
2009-05-20;German RWE Energy acquires 9% of software firm PSI;0
2013-03-05;DGAP-Adhoc: RWE Aktiengesellschaft : RWE decided to withdraw from exploration;4
2008-06-02;RWE prefers swap of German gas grid for foreign assets over sale - CEO;-1
2022-12-27;Tuesday December 27, 2022 What Happened Today to the RWE ADR;-1
2010-08-09;RWE Dea awards Engineering Procurement and Construction contracts to Heerema Fabrication Group;4
2009-12-15;German RWE fears regulatory changes - report;-1
2008-06-12;RWE to build power plant in Poland;-1
2008-12-22;RWE pays EUR 176m in shares to VEW shareholders;2
2013-03-19;RWE annual net income decreases;2
2008-08-25;German regulator launches steps against RWE , E.ON, 3 other gas distributors;4
2015-12-09;RWE -led renewables integration pilot to get govt funding;0
2017-03-14;"RWE AG Issues FY17 Outlook; Declines To Comment On Market Rumours On Innogy";2
2012-12-19;RWE consolidates and streamlines business in the Czech Republic Sales and gas distribution business to be bundled in one entity each Macquarie European Infrastructure Fund 4 (MEIF4) to become co-shareholder in new RWE Grid Holding;2
2019-09-20;NY siting board approves RWE 's 242- MW wind farm;0
2020-06-26;"RWE AG Issues AGM Statement; Plans To Raise Dividend - Quick Facts";2
2009-02-09;ZENERGY POWER PLC - RWE Hydro Power Contract;0
2017-02-15;- RWE exercises right to call hybrid bond on first call date;-1
2019-11-15;- RWE announces new, higher earnings forecast for fiscal 2019;2
2017-06-27;DGAP-Public Voting Rights: RWE Aktiengesellschaft (english);4
2010-12-01;- Lundin Petroleum finds oil in Norwegian Sea;4
2010-04-20;RWE Npower gets nod for 30 MW wind farm in Scotland;0
2018-01-29; FPT Software wins USD 100 million contract from Innogy';2
2010-06-11;"Unicredit affirms ""buy"" on E.on, RWE";2
2008-01-10;German E.on, RWE Want to Build Nuclear Power Plants in UK;-1
2011-10-20;RWE [ DAX index] falls in weak trading with rising open interest, weekly trend remains weak;1
2021-07-09;RWE closes last 2 coal plants in Germany;-1
2012-01-17;RWE Dea Norge extends drilling in the Norwegian Sea;4
2009-02-16;RWE wants to invest in Dutch nuclear power - report;2
2022-09-26;RWE and ADNOC agree on first LNG delivery to floating LNG import terminal at Brunsbüttel;-1
2012-03-13;RWE strengthens its capital structure;-1
2013-09-18;Porpoises may turn into obstacle for RWE's 1.2-GW Atlantic Array - report;0
2010-12-23;RWE launches second wind farm in Italy;0
2008-05-28;RWE says banks partially use greenshoe of American Water IPO, raises $108 mln;-1
2008-09-05;Daimler , RWE announce Berlin electric car project;3
2008-06-12;RWE , Poland 's Kompania Weglowa sign contract to build 1.5 bln euro power plant;3
2018-03-12;EON SE agreed to acquire a minority stake in innogy SE;2
2013-04-15;- RWE Dea continues to grow;4
2008-03-05;RWE acquires Hungarian wind park projects with 300 MW capacity;0
2022-10-21;"Weekly: RWE ( RWE : EUR36.90) down 5.6% in 2 weeks; -EUR1.73 [4.5%]";2
2022-07-27;RWE Raises FY22 Adj. EBITDA Outlook;2
2022-11-09;"RWE ADR (RWEOY: $39.36) hits two-month high on firm volume; +51c [1.3%]";1
2020-03-18;RWE Aktiengesellschaft: Security measure due to coronavirus: RWE postpones Annual General Meeting;2
2012-05-16;Germany 's RWE revises Nabucco participation - paper;-1
2021-07-30;DGAP-Adhoc: RWE Aktiengesellschaft: RWE raises Group earnings forecast for fiscal 2021;2
2022-10-18;"Rwe Ag 52-year bond increases ; +25.20c [0.3%]";2
2019-11-14;"RWE Posts 9-month Stand-alone Adj. Net Income Of EUR 854 Mln; Raises FY19 View";2
2012-12-24;-RWE consolidates and streamlines business in the Czech Republic;2
2022-12-09;Friday December 09, 2022 What Happened Today to the RWE ADR;2
2008-03-19;RWE plans lengthy maintenance for Biblis A to wait out reelections - report;-1
2016-03-18;"Head Line: European Patent Office granted patent to RWE POWER AG [DE] titled as ""METHOD AND APPARATUS FOR GENERATING PROCESS STEAM THROUGH COMBUSTION OF LIGNITE""";3
2022-11-02;RWE ( RWE : EUR38.96) offers earnings yield of 5.2%;2
2020-12-22;DGAP-CMS: RWE Aktiengesellschaft / Announcement in accordance with Article 5 (1) a of Regulation (EU) 596/2014 and Article 2 of Delegated Regulation (EU) 2016/1052 of the Commission of 8 March 2016;4
2011-07-19;RWE launches production of solar generated steam at Andasol 3;0
2020-02-11;European Energy , RWE sign 7-year renewable energy deal in Denmark;0
2022-09-27;Masdar, RWE Renewables partner to tap into key global offshore wind markets;0
2016-09-26;- RWE AG - Executive Board and Supervisory Board committee determine price range and offer structure for IPO of innogy SE;2
2008-06-12;RWE will build more power stations in Poland;3
2011-12-15;RWE npower wins appeal over Welsh wind project;0
2017-02-23;RWE publishes pro-forma figures for 2016;2
2015-08-18;RWE Power -to-Gas Energy Storage System Launched RWE reports an electrolyser system efficiency of 86% with heat recovery;-1
2013-09-02;RWE exports first power from 576-MW wind scheme off Wales;0
2011-05-16;RWE collaborates with Kurchatov and Skolkovo for energy R&D;-1
2011-12-16;RWE [Energy] rises in strong trading with rising open interest;1
2011-07-27;- Deutsche Bahn on track for hydropower from RWE;0
2014-04-28;- RWE selects GroupM as its international media agency;-1
2017-04-28;"WIPO PUBLISHES PATENT OF RWE FOR ""MOBILE ELECTRICAL STORAGE MEANS"" ( GERMAN INVENTOR)";3
2022-12-30;4th Quarter 2022 : RWE ADR (RWEOY:$44.26) climbs 21%;1
2022-11-30;RWE ( RWE : EUR42.0) offers earnings yield of 4.8%;2
2012-09-18;"US Patent Issued to RWE on Sept. 11 for ""Charging Cable Locking Device and Method for Locking a Cable"" ( German Inventors)";3
2012-12-24;RWE Unit Wants to Sell Stake in Bedzin Plant;0
2009-04-21;RWE to invest EUR 500m in Polish wind farms;0
2011-01-18;DGAP-CMS: RWE AG : Release according to Article 30e of the WpHG [the German;-1
2014-04-22;DGAP-PVR: RWE Aktiengesellschaft : Release according to Article 26, Section 1 of;4
2011-09-30;ExxonMobil , Halliburton , RWE Dea to cooperate with Naftohaz.;4
2011-12-28;- RWE terminates talks with Gazprom;-1
2014-04-11;Research and Markets: Underground Gas Storage Industry Outlook in Europe, 2014 - Details of All Sites Featuring Gazprom , Stoccaggi Gas Italia S.p.A. and RWE AG;4
2012-02-07;- ABB and RWE investigate combined technology offering for electric vehicle charging infrastructure solutions;3
2012-12-19;Deal snapshot: E.ON, RWE CLOSE SALE OF HORIZON JV TO HITACHI;2
2011-06-16;RWE [ DAX index] hits year-low 9th time in three months;1
2008-06-02;RWE acquires 25 percent in Dutch Topell to invest in biomass coal;2
2008-01-15;German regulator orders RWE , other utilities to slash power transmission prices;-1
2022-11-03;"RWE ADR (RWEOY: $38.08) increases on firm volume; +10c [0.3%] Vol Index 1.4 [1 is avg]";1
2009-02-23;RWE Innogy, SeaEnergy named preferred bidders for offshore wind farm in UK;0
2012-12-21;RWE gets EUR 220m for majority stake in Kevag;2
2011-06-08;BASF to take RWE 's 50% in Zandvliet Power JV;2
2015-02-20;Macquarie raises stake in RWE Grid Holding;-1
2013-01-29;-Energy utility RWE and the International Union for Conservation of Nature join forces for nature;0
2010-06-17;Noreco says drilling starts on Zidane prospect in Norwegian Sea;4
2020-06-03;Rolf Martin Schmitz of RWE in top 19% of Large MCap Chairmen Scorecard for past year;-1
2021-04-09;Ørsted, RWE , PGE win contracts for 1st offshore wind farms in Poland;0
2012-04-10;RWE receives permit for Innogy Nordsee 1 offshore wind farm construction;0
2011-05-13;RWE [ DAX index] drops to two-month low, for a 2-day fall of 2.1%;1
2011-12-30;Month to December 30: RWE trails 72.0% of stocks, price 5.2% below volume weighted price;2
2013-03-27;Allianz , Borealis could soon ink deal for RWE 's Net4Gas - report;2
2009-06-05;German RWE reduces stake in American Water to 49%;-1
2009-12-03;German RWE invests in own fleet to speed up offshore projects;0
2009-10-15;Germany 's RWE withdraws from bid for power firm Enea , treasury mulls replay.;-1
2015-12-01;Germany 's RWE to spin off renewables, grids & retail businesses;0
2020-03-12;"RWE AG FY19 Adj. EBITDA Rises; External Revenue Down 2%";2
2017-05-01;- RWE shareholders resolve waiver of dividend for fiscal year 2016;2
2010-12-09;- RWE Dea - Mittelplate derrick with new coat;1
2020-06-26;"RWE AG Issues AGM Statement; Plans To Raise Dividend";2
2009-06-24;RWE ' shareholders' lineup faces major shakeup - report;2
2018-07-31;Germany Infrastructure Profile: RWE;-1
2011-01-25;RWE , unions resume collective talks on Tuesday;-1
2009-09-03;Price for RWE takeover of Essent trimmed by EUR950m;2
2022-11-17;"RWE ADR (RWEOY: $41.83) keeps rising, up 4.4% in 3 days; +43c [1.0%]";1
2021-06-04;Rolf Martin Schmitz, RWE Chief Executive Officer in top 12% of German annual return Friday June 04, 2021;-1
2011-09-12;RWE connects 60,000 new renewable power generation units to grid in 2010;0
2014-07-03;"US Patent granted to RWE AG (Delewer) on July 1 titled as ""Control of charging stations""";3
2012-12-21;RWE sells share in KEVAG;2
2015-01-05;"WIPO PUBLISHES PATENT OF RWE AG TITLED AS ""METHOD FOR OPERATING A CHARGING STATION WITH CHARGING POWER DEPENDENT ON THE TEMPERATURE OF THE CHARGING STATION""";3
2012-06-22;RWE increases hybrid bond in Asia Additional launch of USD 500 million Further step towards implementation of hybrid programme;-1
2008-04-07;German Network Agency Probes Eon , RWE , Vattenfall, EnBW on Overcharging;2
2011-10-28;Weekly: RWE climbs 5.5% on high volume rising for a fifth consecutive week, a five week rise of 32.8%;1
2008-06-06;RENEWABLES - RWE To Set Up 100 MW Wind Power Plants in Czech Republic;0
2022-11-04;"Weekly: RWE ADR (RWEOY: $38.94) up 6.7% in 2 weeks; +18c [0.5%] Vol Index 1.7 [1 is avg]";1
2008-12-18;RWE Eprimo wins over 400,000 customers - report;2
2013-12-13;"Contract Notice: Zweckverband Interkommunales Gewerbegebiet Burbach/Neunkirchen, Telekom Deutschland GmbH , RWE Deutschland AG Issues Contract notice for "" Germany -Burbach: Development services""";-1
2020-06-11;RWE to invest in green hydrogen electrolyzer to feed German steel giant;-1
2013-11-18;- RWE npower interim results - Q3 2013;2
2013-01-09;RWE Power announces testing of new electrolysis technology;3
2012-10-24;RWE falls in 4 out of last 5 days;1
2008-07-14;German RWE To Hike Gas Prices by 25 Pct from September;-1
2021-12-08;RWE partners with Novatek to supply Europe with blue, green hydrogen;-1
2016-12-27;Profile of Dr. Markus Krebber Chief Financial Officer of RWE;2
2011-07-12;RWE [ DAX index] hits year-low 6th time in one month and 14th time in three months;1
2017-12-01;RWE AG ST Financial Reports: Report on the first half of 2013;2
2011-06-01;RWE [ DAX index] falls in weak trading with rising open interest, weekly and monthly trend remains weak;1
2011-07-14;INTERIM REPORT (QUARTER): RWE ( RWE .DE) EPS RECOVERY TO EUR3.409 ($US4.8);2
2021-12-01;RWE to sell output of planned 1.4- GW UK offshore wind farm to EDF;0
2013-08-06;RWE Dea to resume oil production in Schleswig-Holstein - report;4
2014-03-18;RWE installs 49 jacket foundations for Nordsee Ost offshore wind farm;0
2014-12-19;-RWE - New collective agreement to take effect;2
2021-05-12;RWE Posts Lower Adj. Results In Q1, Backs FY View;2
2017-06-09;"US Patent Issued to RWE on June 6 for ""Method and system for dynamically providing information about charging stations"" ( German Inventor)";3
2009-04-16;RWE, Kompania Weglowa tie up for coal power plant;0
2009-04-20;Turkmenistan signs gas deal with Germany 's RWE;-1
2016-03-08;RWE FY Posts FY Loss, EBITDA Down 2%;2
2012-07-25;RWE puts on hold major North Sea wind project over lack of legislation - report;0
2022-12-28;Wednesday December 28, 2022 All You Need to Know About the RWE ADR Today;-1
2011-12-23;RWE preference [Energy] rises 0.2% on weak volume for a second consecutive day, a two day rise of 4.2%;1
2009-01-13;RWE AG Outlook To Negative On 9.3 Bil. Bid To Buy Essent N.V. 'A/A-1' Ratings Affirmed;2
2022-12-29;- Sempra Infrastructure signs long-term sale and purchase agreement with RWE Supply Trading;2
2017-12-01;RWE AG ST Financial Reports: Report on the first quarter of 2012;2
2013-03-12;RWE reportedly picks advisor for DEA unit sale;4
2012-10-18;RWE keeps rising: Up 3.3% in 2 days;1
2012-10-02;INTERIM REPORT (QUARTER): RWE ( RWE .DE) EPS OF $US0.45;2
2018-07-19;innogy agrees with E.ON und RWE on fair integration processes and supports the planned transaction;-1
2022-12-05;RWE acquires Irish offshore wind project;0
2011-11-11;RWE [Energy] rises 4.9% on firm volume for a second consecutive day, a two day rise of 7.5%;1
2008-02-20;RENEWABLES - German RWE To Build 2 Wind Farms in the Netherlands;0
2011-12-21;RWE drops on high volatility;1
2021-05-17;Hit from Texas cold snap prompts RWE to revisit hedging strategy, investments;2
2015-05-14;- RWE confirms earnings forecast for 2015;2
2012-06-06;RWE intensifies its focus on sustainability Pooling of â(EURO)oeCorporate Responsibilityâ(EURO), â(EURO)oeDiversityâ(EURO) and Social Commitment/RWE Foundation work Peter Terium takes on chair of RWE Foundation Advisory Board;2
2017-11-17;Prior notification of a concentration (Case M.8691 - Innogy/ European Energy Exchange /JV) Candidate case for simplified procedure (Text with EEA relevance);2
2016-12-27;Profile of Prof. Dr.-Ing. Dr.-Ing. E. h. Hans-Peter Keitel Vice President of RWE;3
2011-09-08;RWE [ DAX index] increases 2.2% on high volume rising for a second consecutive day, a two day rise of 5.2%;1
2010-01-21;RWE Innogy to build EUR 120m biomass pellet factory in US;4
2021-05-13;Hit from Texas cold snap prompts RWE to revisit hedging strategy, investments;2
2009-07-16;RWE flicks switch on wind turbine off the coast of North Wales;0
2022-11-29;RWE ( RWE : EUR41.74) offers dividend yield of 2.2%, hits 76-day high;2
2014-05-20;RWE reports lower Q1 net income, provides outlook for 2014;2
2011-10-31;Month to October 31: RWE price 3.7% below volume weighted price;1
2013-10-29;RWE 's CEO expects further drop in profits, possible merger - report;2
2013-01-18;-RWE issues new euro bond;-1
2019-09-20;Australia: RWE Power Receives Patent for 'Method for operating a steam generator';3
2018-03-12;EQS -Adhoc: E.ON SE: E.ON concludes agreement with RWE to acquire innogy via a;2
2012-10-02;INTERIM REPORT (QUARTER): RWE PREFERENCE (RWE3.DE) EPS OF $US0.45;2
2014-04-16;RWE Expects Net Profit To Stabilise At Lower Levels After 2014;2
2011-01-25;RWE Innogy awards foundation contract for Gwynt y Mor offshore wind farm;0
2022-10-31;RWE ( RWE : EUR38.99) - PRE-MARKET BULLISH SIGNAL Tuesday November 01, 2022 07:11 CET;2
2017-12-19;Latrobe Magnesium , RWE Power mull development of a magnesium plant in Germany;-1
2011-12-30;Rwe AG strengthens 0.1% on low volume;1
2020-10-23;Rolf Martin Schmitz CEO of RWE in top 7% of publicly traded companies;2
2013-05-15;RWE expects no sale of Dea unit in 2013;4
2015-05-12;- RWE Innogy - Energy ministers of the G7 Group officially inaugurate Nordsee Ost offshore wind farm;0
2009-03-02;Npower renewables changes name to RWE npower renewables;0
2020-12-18;RWE , Ineos sign 10-year power contract for Belgian offshore wind farm;0
2008-06-25;MVM, RWE unit to build $1.3b Plant in Hungary;0
2011-01-20;RWE CEO to leave supervisory board of Volkswagen - report;-1
2011-07-18;- RWE and Gazprom agree on Memorandum of Understanding;2
2008-03-26;RENEWABLES - German RWE Innogy Buys 200 MW Wind Farm Projects in Poland;0
2021-07-19;"RWE Power Stations Hit By Severe Floods; Sees Mid-double-digit Million Euro Impact; Stock Down";2
2010-09-16;Nuclear compromise to burden RWE 's EBITDA by EUR 700m per year - report;2
2020-10-09;"INTERNATIONAL PATENT: RWE POWER AG FILES APPLICATION FOR ""DEVICE AND METHOD FOR DETERMINING AN ELEMENTAL COMPOSITION OF GROUND""";3
2008-04-30;RWE to refrain from competitive bidding for takeover targets - CEO;-1
2008-09-08;German RWE CEO Confirms 2008 Goals, Buys Company Shares for 5.0 Mln Euro;2
2011-08-09;RWE H1 profit plunges on nuclear exit;2
2008-07-10;RWE says prepared to manage joint German power grid holding;0
2013-03-27;"WIPO PUBLISHES PATENT OF RWE , JURGEN WAFFNER AND ARMIN GAUL FOR ""SYSTEM AND METHOD FOR THE ELECTRICAL CHARGING OF DEVICES"" ( GERMAN INVENTORS)";3
2014-09-18;RWE cuts ribbon on 32.8- MW wind farm in UK;0
2022-03-16;RWE CEO sees shift for European energy markets because of war in Ukraine;2
2010-08-12;RWE recurrent net profit grows 23% Y/Y in H1 2010;2
2010-09-21;RWE issues EUR 1.75bn hybrid bond;-1
2012-01-13;RWE not interested in Solarworld - report;0
2012-11-13;RWE preference weakens below 50-day EMAP;1
2013-01-21;RWE Dea awarded new operatorship in Norway;4
2020-10-09;"INTERNATIONAL PATENT: RWE POWER AG FILES APPLICATION FOR ""METHOD AND APPARATUS FOR DETERMINING CHEMICAL ELEMENT CONCENTRATIONS AND BONDING FORMS IN A MATERIAL""";3
2011-06-01;RWE CEO warns of consequences of earlier nuclear phase-out - report;-1
2016-02-16;RWE Czech Republic Branch Implements Doxee Cloud-based Solution for Customer Communications/Output Management;-1
2017-06-26;RWE AG : Ad-hoc-disclosure according to Art. 17 MAR - RWE Executive Board intends special dividend amounting to EUR 1.00 per share due to the reimbursement of the Nuclear Fuel Tax;2
2011-07-18;"RWE [ DAX index] weakens below Moving Average Price (MAP); 50-day MAP trails 200-day MAP";1
2011-05-19;RWE [ DAX index] falls in weak trading with rising open interest, weekly and monthly trend remains weak;1
2012-10-25;DGAP-CMS: RWE Aktiengesellschaft : Release of a capital market information;2
2011-12-02;RWE [Energy] falls in weak trading with rising open interest;1
2010-12-29;RWE Dea to expand activities in Libya;4
2019-09-17;EU greenlights E.on, Innogy deal;4
2018-01-03;-More focussed and effective RWE reorganises its conventional generation business;2
2009-04-20;GAS FROM TURKMENISTAN WILL BE SUPPLIED TO EUROPE BY RWE;4
2011-04-13;Moody's examines RWE for downgrade;-1
2012-07-24;German RWE might set up service company in Prague - report;4
2008-04-25;German RWE To Give Up Forced Layoffs by 2012 - Report;-1
2019-05-17;RWE to partner with peers, oil companies to develop US offshore wind farms;0
2015-08-10;RWE AG : Supervisory Board Approves Reorganisation;-1
2019-09-10;E.ON plans 'merger squeeze-out' to integrate innogy after RWE asset swap;-1
2010-02-18;German RWE reshuffles executive board at Suewag Energie unit;-1
2017-11-07;TOP NEWS: SSE , RWE Unit In Talks To Combine Certain British Businesses;2
2022-10-31;"RWE ADR (RWEOY: $38.61) falls on firm volume; -15c [-0.4%] Vol Index 1.3 [1 is avg]";1
2008-06-30;German RWE Confirms 1.0 Bln Euro Saving Target by 2010;-1
2022-10-24;"RWE ADR (RWEOY: $37.87) climbs 3.8% on robust volume; +$1.38 [3.8%] Vol Index 1.4 [1 is avg]";1
